% Model,WS240516_2D+2DAS_STREED_explicit_heating_v28_IMPROVED.mph
% Version,COMSOL 6.2.0.290
% Date,"May 17 2024, 08:13"
% Table,Study 1.2 - Matching Condition CSV - 
% 0 I_in (W/m^2),1 P_in (W),2 V_ratio (1),3 SWP (kg/kWh),4 Q_feed (W/m^2),5 Q_air (W/m^2),6 P_feed (W),7 P_air (W),8 T_max (degC)
999.9938100606179,439.42,100,0.29963455765291636,863088.9076101874,9.487940145715864,711.1852598707944,0.003326385520256727,73.35810448316084
999.9938100606179,439.42,102,0.3074572588065923,863343.2911522188,11.820725469923143,711.3948719094283,0.0041442388377456955,73.45517073040162
999.9938100606179,439.42,104,0.31538449131003393,863594.9318198037,14.773578948071835,711.6022238195181,0.005179482410354935,73.5534483645626
999.9938100606179,439.42,106,0.32341226298603115,863844.7688179625,18.384821096616093,711.8080895060011,0.006445551062620034,73.65261803373221
999.9938100606179,439.42,108,0.3315428207968481,864093.7763949676,22.855200637009354,712.0132717494532,0.008012825470430298,73.75268498577958
999.9938100606179,439.42,110,0.33977829975321283,864341.6990510662,28.229748215698535,712.2175600180785,0.009897092968866721,73.85367679715324
999.9938100606179,439.42,112,0.34812099842047084,864588.4793674023,34.646916227313426,712.4209069987395,0.012146893708232565,73.95561812924319
999.9938100606179,439.42,114,0.35657341885236643,864834.19668101,42.23166825893544,712.6233780651522,0.014806038785588203,74.05853898811785
999.9938100606179,439.42,116,0.3651381450489487,865078.8563570215,51.14424782817804,712.8249776381857,0.017930708120760076,74.16246892694954
999.9938100606179,439.42,118,0.37381783635200483,865322.446243148,61.5925553635316,713.0256957043539,0.02159378971307835,74.26743701108438
999.9938100606179,439.42,119.99999999999999,0.3826150828277488,865564.9443443693,73.76353861823627,713.2255141397603,0.025860825744499483,74.37347139476304
999.9938100606179,439.42,121.99999999999999,0.3915326924797077,865806.3152959942,87.84411095191592,713.4244038038992,0.0307973463388909,74.48060197130764
999.9938100606179,439.42,124,0.40057360966344185,866046.6452152863,104.06305281873857,713.6224356573958,0.03648355984267707,74.58886006641762
999.9938100606179,439.42,126,0.40974086553645817,866285.9280569538,122.65089865858177,713.8196047189299,0.04300028953371936,74.69827795671841
999.9938100606179,439.42,128,0.4190375686060528,866524.0577421482,143.83218437665099,714.0158235795301,0.05042625565818104,74.80888688177652
999.9938100606179,439.42,130,0.42846706228333975,866761.0306656442,167.81868623821305,714.2110892684908,0.05883570504851455,74.92072157242819
999.9938100606179,439.42,132,0.4380328531791038,866996.8546745081,194.8217334075356,714.4054082517946,0.06830272778762847,75.03381929593957
999.9938100606179,439.42,134,0.4477380944438496,867231.3806977982,225.35749946244061,714.5986576949857,0.07900828963719884,75.14821213200003
999.9938100606179,439.42,136,0.4575855348267978,867464.3033597328,260.3714439894251,714.7905859684198,0.09128386012909571,75.26392888890513
999.9938100606179,439.42,138,0.4675793036287302,867695.6433878641,299.90117939269385,714.9812101516,0.1051426258301405,75.38100985069985
999.9938100606179,439.42,140,0.47772328766252947,867925.3628473827,344.2367451511496,715.1704989862433,0.12068627194366581,75.49949402157364
999.9938100606179,439.42,142,0.4880215372350707,868153.4631999148,393.7530711357126,715.3584536767297,0.13804624547234948,75.61942488920675
999.9938100606179,439.42,144,0.49847815490118985,868379.8033912726,448.9551275768376,715.5449579944086,0.15739958438617735,75.74084208994327
999.9938100606179,439.42,146,0.5090972418544133,868604.0786711745,510.3196856061198,715.7297608250477,0.17891344030755205,75.86378422972501
999.9938100606179,439.42,148,0.5198832334482186,868826.2830432296,578.3683683013395,715.9128572276212,0.20277068954327063,75.98829664495804
999.9938100606179,439.42,150,0.5308405246026506,869046.3628647657,653.6192600091554,716.094203000567,0.2291529677531844,76.11442144903674
999.9938100606179,439.42,152,0.5419740236071097,869264.1395575651,736.6630212557125,716.2736509954336,0.25826735514557686,76.24220699921312
999.9938100606179,439.42,154,0.5532886143908528,869479.7237785583,828.0796304430695,716.4512923935321,0.29031718687318303,76.37170011393061
999.9938100606179,439.42,156,0.5647892479224659,869692.5238400653,928.5165521205048,716.6266396442138,0.3255294581181522,76.50294861769879
999.9938100606179,439.42,158,0.5764813489116573,869902.1873011388,1038.6067347128103,716.7994023361383,0.3641260748414162,76.63600468993286
999.9938100606179,439.42,160,0.5883697565643263,870108.6233252276,1159.0718881358237,716.9695056199876,0.4063600619753625,76.7709152869507
999.9938100606179,439.42,162,0.6004603318923012,870311.6698134162,1290.6169747248944,717.1368159262549,0.45247857290298255,76.9077315254874
999.9938100606179,439.42,164,0.6127593702838592,870511.2804261048,1434.030935257798,717.3012950711103,0.5027582030853806,77.04651649656284
999.9938100606179,439.42,166,0.6252730055687855,870707.190810944,1590.0794992998315,717.4627252282178,0.5574674103436763,77.18732708414115
999.9938100606179,439.42,168,0.6380079576324346,870899.0787887182,1759.6292335445767,717.6208409219038,0.6169100050790316,77.33022746727727
999.9938100606179,439.42,170,0.6509692741623861,871086.8263967265,1943.5216024734916,717.7755449509026,0.6813809970853475,77.47526100501238
999.9938100606179,439.42,172,0.664164739909761,871269.8664107877,2142.7086092172467,717.926369922489,0.7512141500015662,77.62250223071834
999.9938100606179,439.42,174,0.6776016222638926,871447.8585217341,2358.129900841077,718.0730354219089,0.8267388955424694,77.77201872909961
999.9938100606179,439.42,176,0.6912862198085702,871620.7262609755,2590.779617003895,718.2154784390437,0.9083037700305605,77.92386490154172
999.9938100606179,439.42,178,0.7052268212196209,871787.9699768038,2841.7076209948377,718.3532872608863,0.9962768459862812,78.07811812228289
999.9938100606179,439.42,180,0.7194310104208846,871949.2569779019,3112.0169098968604,718.4861877497912,1.0910448241549229,78.23484715603757
999.9938100606179,439.42,182,0.7339076185501109,872104.0445136365,3402.8784812542485,718.6137326792365,1.1930182456250407,78.39413429437406
999.9938100606179,439.42,184,0.7486650312303958,872252.3423725906,3715.4468342522864,718.7359301150146,1.30260186731058,78.556054098157
999.9938100606179,439.42,186,0.7637107183663051,872393.4657742032,4050.999509839557,718.8522157979434,1.4202435834486073,78.72067078153106
999.9938100606179,439.42,188,0.7790541801028801,872527.0210856255,4410.842168548186,718.9622653745554,1.5464011467464263,78.88806893122393
999.9938100606179,439.42,190,0.794704875686672,872652.4754587801,4796.397003648337,719.0656397780348,1.6815731652294061,79.05833303156976
999.9938100606179,439.42,192,0.8106723753236549,872769.3205413854,5209.056698916111,719.1619201261016,1.8262479011626933,79.23154596236873
999.9938100606179,439.42,194,0.8269670514211933,872877.1321564099,5650.3313844910335,719.2507568968817,1.980954792438251,79.40780005123582
999.9938100606179,439.42,196,0.8435981426351684,872975.2591181721,6121.822113093459,719.3316135133738,2.1462551535779206,79.58717415786356
999.9938100606179,439.42,198,0.8605761287432421,873063.0658258068,6625.186391431781,719.4039662404648,2.3227300913582893,79.76975595994747
999.9938100606179,439.42,200,0.8779121124547934,873140.0550982092,7162.1630400367785,719.4674054009243,2.5109892204425064,79.95564432855218
999.9938100606179,439.42,202,0.8956175621659251,873205.4553594028,7734.520410586491,719.5212952161479,2.7116525088453582,80.1449370998784
999.9938100606179,439.42,204,0.9137036541296951,873258.5956975174,8344.20993533172,719.5650828547543,2.925404110965285,80.33772802236217
999.9938100606179,439.42,206,0.9321808397585701,873298.8278848215,8993.237459887028,719.5982341770929,3.1529472580311597,80.53410142034414
999.9938100606179,439.42,208,0.9510618411454823,873325.3881806445,9683.706971166976,719.620119860851,3.39501958871902,80.73416641363951
999.9938100606179,439.42,210,0.9703586392760586,873337.2633105486,10417.795142050369,719.629904967892,3.652384224742873,80.9380187628841
999.9938100606179,439.42,212,0.9900824195090305,873333.7082373217,11197.842325382982,719.626975587553,3.9258616725244404,81.14574672280344
999.9938100606179,439.42,214,1.0102441302909562,873313.7318240241,12026.252395548092,719.6105150229959,4.216294708558752,81.35743454136195
999.9938100606179,439.42,216,1.0308571136407774,873276.4128796067,12905.54677652298,719.5797642127959,4.524567321159354,81.57319096100821
999.9938100606179,439.42,218,1.0519333543618423,873220.6450986041,13838.412857971067,719.5338115612498,4.851621684699863,81.79310957329005
999.9938100606179,439.42,220,1.0734903939123062,873145.4171734614,14827.7371263708,719.4718237509321,5.198469775086415,82.01733898976488
999.9938100606179,439.42,222,1.0955377795269632,873049.5105918504,15876.395470457266,719.3927967276846,5.5661198527527125,82.24594021553071
999.9938100606179,439.42,224,1.1180886543575692,872931.700222715,16987.52432220804,719.2957209835172,5.955671522223577,82.47901261058968
999.9938100606179,439.42,226,1.1411527445505363,872790.7260123958,18164.36648857594,719.1795582342141,6.368261682122649,82.71661869784697
999.9938100606179,439.42,228,1.1647422993932732,872625.1760595839,19410.249780939717,719.0431450730971,6.80505703285217,82.95884375694408
999.9938100606179,439.42,230,1.1888683164802631,872433.6307241082,20728.70804878863,718.8853117166651,7.267296509901957,83.20576350936608
999.9938100606179,439.42,232,1.2135417143690406,872214.5053214716,22123.468759484673,718.7047523848926,7.756286929427021,83.4574456130668
999.9938100606179,439.42,234,1.2387721728541583,871966.2053578732,23598.468173391222,718.5001532148875,8.273408308509637,83.71394485513667
999.9938100606179,439.42,236,1.2645682533917142,871687.0025316104,25157.71066513301,718.2700900860469,8.820064544472599,83.97530489878744
999.9938100606179,439.42,237.99999999999997,1.2909363066370345,871375.0491372071,26805.349381043503,718.0130404890587,9.39771169264667,84.24153969030738
999.9938100606179,439.42,239.99999999999997,1.3178838644863344,871028.5108205362,28545.7753547154,717.7274929161218,10.007889209472067,84.51268927912434
