% Model,WS240516_2D+2DAS_STREED_explicit_heating_v28_EXPERIMENTAL.mph
% Version,COMSOL 6.2.0.290
% Date,"May 17 2024, 09:41"
% Table,Study 1.2 - Matching Condition CSV - 
% 0 I_in (W/m^2),1 P_in (W),2 V_ratio (1),3 SWP (kg/kWh),4 Q_feed (W/m^2),5 Q_air (W/m^2),6 P_feed (W),7 P_air (W),8 T_max (degC)
999.9938100606179,439.42,100,0.3344258378334405,88271.68522900662,5.392371201834187,581.9596848982402,0.0018905162986014234,94.52688067016288
999.9938100606179,439.42,102,0.34013231097525093,88229.47801492535,6.787798222712575,581.6814201642721,0.002379740320416185,94.62891706275144
999.9938100606179,439.42,104,0.3457621248126627,88187.38350710807,8.53520095685732,581.4038984828661,0.002992363826008245,94.72924684726934
999.9938100606179,439.42,106,0.3513132233381163,88145.2634743518,10.6545447027898,581.1262085200299,0.003735386467450567,94.82780075977541
999.9938100606179,439.42,108,0.35678705379585046,88103.23264407016,13.21889660644624,580.8491066534091,0.004634424921547177,94.92466346906104
999.9938100606179,439.42,110,0.3621846331755317,88061.33022981934,16.258221228614193,580.5728514110784,0.005699984490776145,95.01987833514653
999.9938100606179,439.42,112,0.36750683928307665,88019.58207591482,19.878651468003998,580.2976131800609,0.006969274404124055,95.11348067168228
999.9938100606179,439.42,114,0.37275451977643953,87978.00118634893,24.132036952262908,580.0234776933896,0.008460472669460654,95.20549851773006
999.9938100606179,439.42,116,0.3779284477193986,87936.57852402261,29.107678752409527,579.7503853710607,0.010204887430072855,95.29595022672754
999.9938100606179,439.42,118,0.3830294401577752,87895.31301623027,34.93463851903366,579.4783291409152,0.012247766526814313,95.38485629922786
999.9938100606179,439.42,120,0.38805858552287165,87854.23418285971,41.64377817063267,579.2075036223778,0.014599929867614497,95.47225610463988
999.9938100606179,439.42,122,0.3930173428619987,87813.36064506473,49.35888332921232,578.9380315814382,0.017304775565692095,95.55818644551181
999.9938100606179,439.42,123.99999999999999,0.3979014752531501,87772.52595934755,58.19934973146106,578.6688156854094,0.020404162680400496,95.64257500997536
999.9938100606179,439.42,126,0.40272043016991643,87731.98599623666,68.30057628674324,578.4015428436529,0.02394556083788099,95.72559659411672
999.9938100606179,439.42,128,0.40747066940915394,87691.57422176807,79.78198565889706,578.1351151270537,0.027970838537900757,95.8071739344582
999.9938100606179,439.42,130,0.41215420139072523,87651.36584374249,92.76314884165672,577.8700283674057,0.03252191628333941,95.88738008462877
999.9938100606179,439.42,132,0.41677043306124245,87611.3268486959,107.38246196010942,577.6060583199265,0.037647314496910375,95.96621860705517
999.9938100606179,439.42,134,0.42132209462466724,87571.48937136115,123.78849615099705,577.3434168432547,0.04339912086786929,96.04373305716194
999.9938100606179,439.42,136,0.42580973215574586,87531.83968562493,142.13336003041982,577.0820134435404,0.04983066329356072,96.1199383091822
999.9938100606179,439.42,138,0.4302339706382649,87492.36762079288,162.57276110906776,576.8217810671861,0.056996531411039705,96.19485411100908
999.9938100606179,439.42,140,0.4345958220204769,87453.06982771592,185.26482717551875,576.5626976338414,0.06495216338477582,96.26850504373965
999.9938100606179,439.42,142,0.43889624178084197,87413.94590674467,210.37694537354696,576.304760508688,0.07375624362495466,96.34091750514818
999.9938100606179,439.42,144,0.44313630988729824,87374.99351605118,238.0802995744216,576.0479542524665,0.0834687876398895,96.4121128345148
999.9938100606179,439.42,146,0.4473166311136266,87336.20009622295,268.54797180679907,575.7921960631809,0.09415047641460951,96.48210689081094
999.9938100606179,439.42,148,0.4514374925700533,87297.5485721288,301.9571085278391,575.5373733674963,0.10586341588581019,96.5509097633888
999.9938100606179,439.42,150,0.4555005711480022,87259.04732539285,338.4911471264811,575.2835414239856,0.11867191753365168,96.61854802939291
999.9938100606179,439.42,152,0.45950650097600004,87220.69029219417,378.33445277766737,575.0306602549446,0.13264061811162833,96.6850421627488
999.9938100606179,439.42,154,0.46345607965759456,87182.46542463932,421.66560168722293,574.7786504307322,0.14783212481331384,96.75040989400696
999.9938100606179,439.42,156,0.46735026898619164,87144.37519947966,468.6129658542865,574.5275282801342,0.16429144369403567,96.81467513846701
999.9938100606179,439.42,158,0.47119081564519905,87106.44217280082,519.3084790657113,574.2774425114533,0.1820648295394987,96.87787011669218
999.9938100606179,439.42,160,0.47497607545018133,87068.59293467147,574.2296133254811,574.0279091459324,0.2013196796915904,96.93997666547705
999.9938100606179,439.42,162,0.4787063494453467,87030.83036747784,634.1975840277847,573.7789471866366,0.22234390479838487,97.0010175485736
999.9938100606179,439.42,164,0.4823853612607214,86993.21988087204,699.3480939780154,573.5309878678902,0.24518508102920708,97.06105305382084
999.9938100606179,439.42,166,0.4860131906330669,86955.69075463394,768.7142130428075,573.2835649437286,0.2695042114737341,97.12005910541598
999.9938100606179,439.42,168,0.4895903476848128,86918.23880312481,842.5957496329437,573.0366508189725,0.295406406233965,97.17805470408331
999.9938100606179,439.42,170,0.49311641307874854,86880.87230060545,921.63149534967,572.7903000443667,0.32311561983535153,97.23506575758643
999.9938100606179,439.42,172,0.4965927332275967,86843.58986357864,1006.1392499929883,572.5445034987579,0.35274326999731753,97.29110846665344
999.9938100606179,439.42,174,0.500020130600403,86806.41244930409,1096.3110903347815,572.2993993496707,0.3843566970891061,97.34621309309102
999.9938100606179,439.42,176,0.5033997901621442,86769.36441912131,1191.9859808124977,572.0551482071289,0.4178994435071392,97.40041778116489
999.9938100606179,439.42,178,0.5067313738201237,86732.39294730833,1293.5490444193165,571.811401800445,0.4535065298700502,97.45370050753382
