% Model,WS240516_2D_simple_vapor_water_resonance_v1.mph
% Version,COMSOL 6.2.0.290
% Date,"May 17 2024, 07:41"
% Table,Export CSV - 
% 0 I_in (W/m^2),1 P_in (W),2 u_ratio (1),3 FOM (1),4 Q_feed (W/m^2),5 Q_air (W/m^2),6 P_feed (W),7 P_air (W),8 T_max (degC)
10000,10,652.0572293428611,1.1061055122828862,3145.7517091301775,2.3793912640379785E-6,3.1457517091301774,2.3793912640379788E-9,25.946676960338152
10000,10,673.8627168030941,1.2167283694124333,2964.3229700536413,3.18541215221124E-6,2.9643229700536415,3.18541215221124E-9,26.29076536129304
10000,10,696.3974029624321,1.347340502129049,2769.3260785077673,3.8269791957935165E-6,2.7693260785077674,3.826979195793516E-9,26.693764916195164
10000,10,719.6856730011522,1.5035082781792928,2560.1072747725275,4.6383743201816745E-6,2.5601072747725278,4.638374320181674E-9,27.17116614163757
10000,10,743.7527275659046,1.6950488940279314,2336.039337280017,6.166977880306157E-6,2.3360393372800172,6.1669778803061575E-9,27.75341914430578
10000,10,768.6246100397738,1.930789171019494,2097.293568120202,1.3625739008772863E-5,2.097293568120202,1.3625739008772863E-8,28.461652153841044
10000,10,794.3282347242813,2.2179109759213502,1845.5622631815722,4.805267633035508E-5,1.8455622631815722,4.805267633035508E-8,29.304829662005773
10000,10,820.8914159638254,2.5634639632735947,1583.652794760699,2.8548120489436745E-4,1.583652794760699,2.8548120489436744E-7,30.297962391616068
10000,10,848.3428982440716,2.9418574728177664,1317.980465279279,0.0020049536200248655,1.317980465279279,2.0049536200248657E-6,31.33734862720013
10000,10,876.7123872968687,3.2989590379148317,1057.9417623129582,0.013275824122103331,1.0579417623129581,1.3275824122103331E-5,32.26728365665048
10000,10,906.030582245338,3.561379176113303,815.6012833342799,0.08342413704843767,0.8156012833342798,8.342413704843767E-5,32.869864952510056
10000,10,936.3292088239417,3.6907010275263294,602.3910978908066,0.47292904365276095,0.6023910978908066,4.7292904365276096E-4,33.05900058829923
10000,10,967.6410537094537,3.701381244487835,425.17390000779596,2.338619332846984,0.425173900007796,0.0023386193328469845,32.909641561083276
10000,10,1000,3.6259921648734967,285.37585205997146,9.835243023117556,0.28537585205997146,0.009835243023117557,32.523646319278726
10000,10,1033.441063880556,3.506271390418866,181.19429825881022,34.37967299211486,0.18119429825881023,0.03437967299211486,32.02042502819546
10000,10,1068.0004325145756,3.3621636038792793,108.15245155688241,98.7810075373126,0.10815245155688241,0.0987810075373126,31.464245319838938
10000,10,1103.715503202757,3.2034525133817455,60.25048683705374,233.47483604983884,0.060250486837053745,0.23347483604983885,30.888444860172115
10000,10,1140.6249238513203,3.036630230411611,31.169179847200958,461.4414175570252,0.031169179847200957,0.4614414175570252,30.315748957459505
10000,10,1178.7686347935867,2.865206262286228,14.938741705774452,785.0276052839794,0.014938741705774453,0.7850276052839794,29.75489463819349
10000,10,1218.1879120101148,2.693363502423524,6.647338066709476,1187.8182546561316,0.006647338066709476,1.1878182546561316,29.213819296043653
10000,10,1258.9254117941662,2.522890279502827,2.8093140622675477,1646.1613481938427,0.0028093140622675477,1.6461613481938429,28.69537830367352
10000,10,1301.0252169108314,2.357409029992451,1.138844975855521,2137.0869934536745,0.0011388449758555211,2.1370869934536745,28.203087406930138
10000,10,1344.5328842997608,2.1993460388477124,0.44610582523265246,2642.5588842371667,4.461058252326525E-4,2.642558884237167,27.74232560248487
10000,10,1389.4954943731375,2.0506582873288126,0.1667602587026266,3147.081828829608,1.667602587026266E-4,3.147081828829608,27.31465962460976
10000,10,1435.9617019622142,1.9117149163025555,0.06262796960953881,3641.6721879756324,6.262796960953881E-5,3.6416721879756326,26.920917503994644
10000,10,1483.9817889675662,1.7830987324805037,0.02409585812961339,4120.532709873839,2.409585812961339E-5,4.120532709873839,26.559202999311935
10000,10,1533.6077187700123,1.6642180726104396,0.009012548632097495,4580.546579535176,9.012548632097495E-6,4.580546579535175,26.227775830870883
10000,10,1584.893192461114,1.5537316666238907,0.0033805724651392297,5019.602176179316,3.3805724651392296E-6,5.019602176179316,25.9210946006437
10000,10,1637.8937069540646,1.4513868523863773,0.0013728221065444945,5436.967899863693,1.3728221065444945E-6,5.436967899863693,25.64099950168577
10000,10,1692.6666150378762,1.3572640254988038,4.995886961556326E-4,5832.5819695130485,4.995886961556326E-7,5.832581969513049,25.38647657585483
10000,10,1749.2711874398424,1.2709590195465887,1.7389289407942297E-4,6206.593532591839,1.7389289407942296E-7,6.206593532591839,25.15373006636156
10000,10,1807.7686769634342,1.191633475775888,5.9517213619415505E-5,6558.982726680544,5.951721361941551E-8,6.5589827266805445,24.93990996941983
10000,10,1868.2223847710366,1.1185686177578742,2.3550128306740202E-5,6891.215124558875,2.3550128306740204E-8,6.891215124558875,24.74171962653861
10000,10,1930.6977288832495,1.0513451760235275,1.2367377019343791E-5,7204.183319055089,1.2367377019343791E-8,7.204183319055089,24.56192511293989
10000,10,1995.2623149688789,0.9892708471326678,7.96494090229633E-6,7498.465607691637,7.96494090229633E-9,7.498465607691637,24.39635030249616
10000,10,2061.986009502219,0.931859055646348,7.41335820300141E-6,7776.799896615156,7.41335820300141E-9,7.776799896615157,24.244194197615514
10000,10,2130.9410153667955,0.8788998243190932,5.464583813484986E-6,8038.151479239227,5.464583813484986E-9,8.038151479239227,24.10421128890897
10000,10,2202.2019499873736,0.829919527967468,4.868873768737604E-6,8284.781721250145,4.868873768737604E-9,8.284781721250145,23.975742378354198
10000,10,2275.8459260747886,0.7841775872871415,4.705680325835717E-6,8516.993327477674,4.705680325835717E-9,8.516993327477675,23.85617893814981
10000,10,2351.952635070959,0.7418118452097969,4.251432404569312E-6,8736.245044117815,4.251432404569312E-9,8.736245044117815,23.74527395741785
10000,10,2430.604433384409,0.7026125909242404,3.215738360153057E-5,8942.90795038103,3.215738360153057E-8,8.94290795038103,23.643177498262958
10000,10,2511.88643150958,0.6661455563841207,2.58827120020979E-6,9138.147526542574,2.58827120020979E-9,9.138147526542575,23.548549805307402
10000,10,2595.8865861263935,0.6321160041940878,3.120084189675266E-6,9322.668068628644,3.120084189675266E-9,9.322668068628644,23.461245556528468
10000,10,2682.6957952797275,0.600342364635156,2.7515460408292656E-6,9496.818316225606,2.7515460408292657E-9,9.496818316225607,23.379354769716088
10000,10,2772.4079967417756,0.5706206195888041,5.663185892888679E-4,9661.63655910698,5.66318589288868E-7,9.66163655910698,23.303400835512264
10000,10,2865.120269663782,0.5428086338034769,3.214089193339351E-7,9817.365821745072,3.2140891933393507E-10,9.817365821745073,23.2316830506698
10000,10,2960.932939627084,0.5166966212789157,1.242504446043583E-6,9964.51606592095,1.2425044460435831E-9,9.96451606592095,23.165657393584183
